port_number,port_name,transport_number,average_bitrate,tei_count,discontinuity_count,used_backup,port_info,port_source_info,device_info,mode,rpt_start_date_yyyymmdd,rpt_start_time,rpt_end_date_yyyymmdd,rpt_end_time
1007,KBS2,,0.0000,0,0,N,233.18.145.120:55120,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1032,KBSDrama,,0.0000,0,0,N,233.14.202.167:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1001,KBSJoy,,0.0000,0,0,N,233.14.202.169:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1002,KShopping,,0.0000,0,0,N,233.18.145.25:30000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1013,LotteHomeShopping,,0.0000,0,0,N,233.14.202.18:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1037,LotteOneTV,,0.0000,0,0,N,233.14.202.69:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1012,MBC,,0.0000,0,0,N,233.18.145.194:55216,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1036,MBCDramaNet,,0.0000,0,0,N,233.14.202.171:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1030,MBCEveryOne,,0.0000,0,0,N,233.14.202.175:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1017,MBN,,0.0000,0,0,N,233.14.202.60:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1023,Mnet,,0.0000,0,0,N,233.14.202.30:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1049,Mplex,,0.0000,0,0,N,233.14.202.47:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1024,NewsY,,0.0000,0,0,N,233.14.202.161:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1014,NSHomeShopping,,0.0000,0,0,N,233.14.202.17:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1042,NSShopPlus,,0.0000,0,0,N,233.18.145.26:30000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1027,OBS,,0.0000,0,0,N,233.18.145.199:55960,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1003,OCN,,0.0000,0,0,N,233.14.202.27:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
0,Port 0,,0.0000,0,0,N,2000,,LAN 2,Unicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1005,SBS,,0.0000,0,0,N,233.18.145.195:55384,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1028,SBSCNBC,,0.0000,0,0,N,233.14.202.166:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1039,SBSfunny,,0.0000,0,0,N,233.14.202.165:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1034,SBSplus,,0.0000,0,0,N,233.14.202.162:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1026,ScienceTV,,0.0000,0,0,N,233.14.202.46:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1047,Screen,,0.0000,0,0,N,233.18.145.93:56520,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1038,ShoppingNT,,0.0000,0,0,N,233.14.202.71:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1029,SKStore,,0.0000,0,0,N,233.14.202.194:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1022,SSGshop,,0.0000,0,0,N,233.14.202.70:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1046,SuperAction,,0.0000,0,0,N,233.14.202.28:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1020,TVChosun,,0.0000,0,0,N,233.14.202.57:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1018,tvN,,0.0000,0,0,N,233.14.202.25:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1000,UplusToday,,0.0000,0,0,N,233.14.202.21:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1040,Wshopping,,0.0000,0,0,N,233.18.145.30:30000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1043,XtvN,,0.0000,0,0,N,233.14.202.15:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
1025,YTN,,0.0000,0,0,N,233.14.202.41:60000,*,LAN 3,Multicast,20190914,18:23:42+09:00,20190914,18:28:42+09:00
